epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.67,1.07902,2.52807,1.47981,0.56047,0.34792,0.35818,0.25064,1.03609,1.70656,1.52106,0.00332765,0.00332765,0.00332765
2,1055.48,0.96236,1.65064,1.36601,0.48871,0.33922,0.34604,0.2329,1.10304,1.80853,1.62986,0.00659504,0.00659504,0.00659504
3,1565.9,1.0786,1.86896,1.46393,0.39058,0.23786,0.20511,0.12922,1.30974,2.5561,1.85378,0.00979643,0.00979643,0.00979643
4,2073.02,1.09178,1.90379,1.48589,0.47797,0.33604,0.32613,0.22262,1.13626,1.90544,1.64351,0.009703,0.009703,0.009703
5,2579.25,0.98726,1.59445,1.40171,0.68103,0.44184,0.49339,0.3688,0.87908,1.22672,1.34401,0.009604,0.009604,0.009604
6,3087.84,0.90874,1.38289,1.34003,0.68977,0.52647,0.57099,0.43842,0.80951,1.03827,1.28574,0.009505,0.009505,0.009505
7,3594.46,0.85797,1.24228,1.3047,0.67401,0.54879,0.61877,0.47621,0.73561,0.96704,1.21089,0.009406,0.009406,0.009406
8,4099.61,0.82267,1.14126,1.27553,0.80186,0.62143,0.72147,0.56445,0.66533,0.73585,1.14299,0.009307,0.009307,0.009307
9,4605.95,0.79118,1.05296,1.25204,0.83793,0.66247,0.79142,0.63355,0.6071,0.63398,1.08776,0.009208,0.009208,0.009208
10,5110.79,0.76404,0.98357,1.22985,0.75924,0.79558,0.8301,0.67292,0.5698,0.54555,1.05403,0.009109,0.009109,0.009109
11,5616.08,0.73948,0.92475,1.2123,0.85805,0.78609,0.85085,0.70078,0.53568,0.50179,1.02368,0.00901,0.00901,0.00901
12,6121.3,0.71887,0.87657,1.19888,0.84174,0.79981,0.88174,0.74363,0.50844,0.45257,1.00078,0.008911,0.008911,0.008911
13,6627.24,0.69913,0.82985,1.18334,0.91845,0.81766,0.90536,0.76795,0.47439,0.40647,0.9706,0.008812,0.008812,0.008812
14,7132.09,0.6837,0.79886,1.17026,0.91612,0.85199,0.93067,0.79642,0.45081,0.37798,0.94721,0.008713,0.008713,0.008713
15,7637.98,0.67058,0.77133,1.15953,0.86134,0.90375,0.946,0.82527,0.43061,0.34336,0.93055,0.008614,0.008614,0.008614
16,8142.86,0.6583,0.74953,1.15208,0.89682,0.93214,0.95903,0.84602,0.41133,0.32454,0.91298,0.008515,0.008515,0.008515
17,8649.73,0.64822,0.71946,1.14311,0.94294,0.9267,0.96578,0.85326,0.39484,0.30089,0.89728,0.008416,0.008416,0.008416
18,9155.21,0.63841,0.69902,1.13765,0.95499,0.92894,0.96893,0.86356,0.38598,0.28946,0.88859,0.008317,0.008317,0.008317
19,9661.47,0.62723,0.68426,1.1279,0.95116,0.9447,0.9733,0.86964,0.37498,0.27588,0.87876,0.008218,0.008218,0.008218
20,10166.6,0.62038,0.66659,1.12255,0.95173,0.9591,0.97766,0.88114,0.36142,0.25933,0.86849,0.008119,0.008119,0.008119
21,10672.8,0.60954,0.64839,1.11517,0.95768,0.95284,0.97968,0.88754,0.34845,0.24962,0.85867,0.00802,0.00802,0.00802
22,11178.7,0.60374,0.63601,1.10989,0.96181,0.95398,0.98045,0.89439,0.34248,0.24317,0.85298,0.007921,0.007921,0.007921
23,11683.9,0.59372,0.62003,1.1048,0.96053,0.95911,0.98191,0.8994,0.33267,0.23532,0.84545,0.007822,0.007822,0.007822
24,12188.3,0.5888,0.608,1.10105,0.96952,0.95554,0.98257,0.90239,0.32717,0.22929,0.84121,0.007723,0.007723,0.007723
25,12695.6,0.58007,0.59944,1.09425,0.97222,0.95434,0.98325,0.90621,0.31975,0.22451,0.83565,0.007624,0.007624,0.007624
26,535.669,0.56584,0.56919,1.08583,0.96431,0.96288,0.98397,0.90922,0.31555,0.21991,0.83258,0.007525,0.007525,0.007525
27,1033.37,0.57222,0.57933,1.08971,0.96712,0.96115,0.98436,0.91122,0.31168,0.21756,0.8299,0.007426,0.007426,0.007426
28,1534.45,0.568,0.57435,1.08468,0.97484,0.96199,0.98498,0.91228,0.30832,0.21591,0.82721,0.007327,0.007327,0.007327
29,2037.36,0.56476,0.56928,1.08438,0.97499,0.96262,0.98528,0.91317,0.30602,0.21366,0.82501,0.007228,0.007228,0.007228
30,2539.64,0.56047,0.56341,1.08136,0.97556,0.96276,0.98532,0.91434,0.30391,0.21225,0.82316,0.007129,0.007129,0.007129
31,3041.17,0.55276,0.54837,1.0748,0.97345,0.96402,0.98533,0.9145,0.30218,0.21079,0.82171,0.00703,0.00703,0.00703
32,547.929,0.5175,0.49169,1.05365,0.9739,0.9649,0.98543,0.91524,0.30052,0.20878,0.82052,0.006931,0.006931,0.006931
33,1060.27,0.53492,0.52267,1.0641,0.97472,0.96575,0.9856,0.91679,0.29877,0.20762,0.81887,0.006832,0.006832,0.006832
34,1571.34,0.53863,0.52473,1.06478,0.9748,0.96551,0.98595,0.91796,0.2969,0.20653,0.8175,0.006733,0.006733,0.006733
35,2082.54,0.54,0.53081,1.06699,0.97628,0.96485,0.98611,0.91896,0.29537,0.20555,0.81607,0.006634,0.006634,0.006634
36,2594.19,0.53855,0.52911,1.0664,0.97773,0.96383,0.98628,0.91991,0.29402,0.20459,0.81504,0.006535,0.006535,0.006535
37,3105.99,0.53198,0.51963,1.06249,0.97833,0.96307,0.98639,0.9206,0.29237,0.20345,0.81405,0.006436,0.006436,0.006436
38,3618.65,0.52899,0.51372,1.06081,0.97829,0.96416,0.98638,0.92152,0.29068,0.2022,0.81289,0.006337,0.006337,0.006337
39,4130.57,0.52621,0.5088,1.05657,0.97776,0.96534,0.9865,0.92264,0.2889,0.20088,0.81154,0.006238,0.006238,0.006238
40,4641.35,0.52295,0.50225,1.05483,0.97693,0.96717,0.98659,0.92372,0.28738,0.19981,0.81036,0.006139,0.006139,0.006139
41,5154.76,0.51925,0.49639,1.05249,0.97665,0.96802,0.98667,0.9244,0.28589,0.19841,0.80927,0.00604,0.00604,0.00604
